text,sentiment,sourcesheet,unanimous,annotator_1,annotator_2,annotator_3
اور اگر آپ ہی کا مسئلہ ہے تو پھر اس لڑی کو اپنے آپ تک ہی محدود کیجیے ”پبلک“ نہ کریں,negative,politics,True,neg,neg,neg
معذرت یاز بھائی اس اوور کیبعد لگتا ہے گبز بھائی نے ہی ڈی کوک پر قبضہ جمایا ہوگا,negative,sports,True,neg,neg,neg
واقعی ادی کا جواب نہیں,negative,dramas,True,neg,neg,neg
شیر پاکستان ,positive,politics,True,pos,pos,pos
بے شرم لوگ ,negative,politics,True,neg,neg,neg
آفریدی نے غیر ذمہ داری سے کھیلاکچھ اوور سلو کھیل لیتا ,negative,sports,True,neg,neg,neg
جی جی آپ نے درست کہا تھپڑ کی یاد رنگین ہونے کی پہلی شرط بھی یہی ہے کہ مارنے والی بندی ہو,positive,dramas,True,pos,pos,pos
آخر پر پاکستانی سانڈ کو جیتنے کی ٹرافی دے دیا کریں,positive,sports,True,pos,pos,pos
کویت کی مرغیاں انڈے تو دیتی ہیں لیکن فرائی کر کے نہیں دیتی میں نے سوچا شاید یوکے والی مرغیاں فرائی دیتی ہوں,negative,food and recipes,True,neg,neg,neg
شہزاد وحید بھائی کیا آپ نے غلطی سے یہ مراسلہ کوٹ کر لیا ہے؟؟ ,negative,dramas,True,neg,neg,neg
آج کل کے جو انڈے ہیں وہ مرغیوں کو فیڈ کھلا کھلا کر لیے جاتے ہیں میرے میاں آیان کو دینے سے منع کرتے ہیں کہتے ہیں یہ انڈے صرف باڈی میں ہیٹ پیدا کرتے ہیں ,negative,food and recipes,True,neg,neg,neg
یونٹ ون میں کتنے لیسن ہیں؟,neutral,"software,blog and forum reviews",True,neu,neu,neu
اکستان تحریک انصاف کے نام سے ہی ظاھر ہے کہ یہ کوئی فرقہ پرست نسل پرست پارٹی نہیں متحدہ کی طرح جو مہاجر قومی مومنٹ سے آغاز کرکے اب متحدہ بن گئی,neutral,politics,True,neu,neu,neu
تب کھیلے کیا جب سیریز ہاتھ سے نکل گئ ماوراء جی ,neutral,sports,True,neu,neu,neu
خرگوش کے متعلق ایک سوال ہے کیونکہ اس کی دو نسل ہوتی ہیں,neutral,food and recipes,True,neu,neu,neu
مطلب؟؟,neutral,dramas,True,neu,neu,neu
ہماری طرف سے بھی لگا دینا حمیرا,neutral,sports,True,neu,neu,neu
جی دراصل مِس میچ تھا,negative,sports,True,neg,neg,neg
سب سے آسان ڈش ,positive,food and recipes,True,pos,pos,pos
لاریب مرزا ایکچوئلی اس مراسلے کا اقتباس لینا تھا,neutral,dramas,True,neu,neu,neu
میں نے اپنے ڈیسک ٹاپ پر اوبنٹو انسٹال تو کی ہوئی ہے لیکن کبھی اتنا وقت نہیں ملا کہ اسے استعمال کرنا سیکھ سکوں خیر اس انسٹالر سے کم از کم اب اردو انسٹال کر لوں گا باقی استعمال کرنا وقت کے ساتھ ساتھ دیکھیں گے,neutral,"software,blog and forum reviews",True,neu,neu,neu
دوپہر میں دفتر کی جانب سے ایک بہت اچھے لبنانی ریسٹورنٹ میں دعوت تھی اور لبنانیوں کا تو آپ کو علم ہی ہو گا,positive,food and recipes,True,pos,pos,pos
جماعت اسلامی کو اتحاد تو عمران خان سے ہی کرنا چاہیے کیونکے آزمایے ہووے کو آزمانا کہاں کی عقلمندی ہے  اگر نہیں تو ,neutral,politics,True,neu,neu,neu
بیچارے استاد بشیر کے فالوورز تو ایک پنڈ سے بھی کم ہیں آپ نے تو آئن سٹائن ہی بنا دیا,negative,"software,blog and forum reviews",True,neg,neg,neg
یار تم ہزار بار کہو میری جان کے ٹوٹے لیکن پہلی بار اور سیدھا ہی پرا کہنا اچھی بات نہیں,neutral,politics,True,neu,neu,neu
